"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"167","Juwan Johnson","TE","NO",74.3,9.49,0.493,60.7,86.6,-12.9,-10.9,-18.3,162,155,185,23,"7",207,1.6,46
"168","Colts","DST","IND",80.6,5.29,1.37,73.9,86.7,-12.9,-8.1,-19.9,161,135,192,18,"12",164,0.4,16
"169","Keon Coleman","WR","BUF",115,15.9,3.55,95.4,137,-13.1,-8.41,-20.3,163,139,195,47,"7",122,4.5,75
"170","Dalton Schultz","TE","HOU",73.8,10.9,0.168,59.1,88.3,-13.4,-12.5,-16.6,164,161,180,24,"7",192,2.8,51
"171","Rachaad White","RB","TB",100,11.6,5.51,80.7,113,-13.5,-3.38,-28.3,165,112,217,44,"11",120,9.04,21
"172","Brenton Strange","TE","JAC",73.6,9.97,0.508,61.2,88.8,-13.6,-10.4,-16.1,166,153,176,25,"7",174,3.66,60
"173","Pat Freiermuth","TE","PIT",73.1,13.2,0.852,50.4,88.4,-14.1,-21.2,-16.5,167,190,177,26,"7",161,2,71
"174","Bears","DST","CHI",79.2,9.6,0.292,67.7,91.3,-14.3,-14.4,-15.3,168,166,167,19,"13",152,0.55,58
"175","Bengals","DST","CIN",78.9,6.53,0.0693,72,88.8,-14.6,-10.1,-17.8,169,152,182,20,"13",162,0,23
"176","Browns","DST","CLE",78.9,10.3,0.0519,65.9,91,-14.6,-16.1,-15.6,170,176,171,21,"13",169,0,84
"177","Cardinals","DST","ARI",78.8,12.5,0.352,61.2,93.4,-14.7,-20.8,-13.3,171,189,155,22,"13",170,0.55,87
"178","Chigoziem Okonkwo","TE","TEN",72.2,12.9,0.128,57,91.3,-14.9,-14.6,-13.6,172,168,156,27,"7",185,1.89,74
"179","Buccaneers","DST","TB",78.5,7.58,0.499,65.1,87.8,-15,-17,-18.8,173,179,186,23,"14",162,0.6,19
"180","Mike Gesicki","TE","CIN",72.1,6.21,0.673,64.6,80.9,-15.1,-7.02,-24,174,130,208,28,"7",176,4.5,14
"181","C.J. Stroud","QB","HOU",258,16.9,2.05,231,282,-15.3,-27,-15,175,207,165,16,"7",110,8.02,40
"182","Raiders","DST","LVR",78,10.1,0.0165,63.4,91,-15.5,-18.7,-15.7,176,185,173,24,"14",170,0,52
"183","Falcons","DST","ATL",78,7.49,0.244,68.4,91.3,-15.6,-13.7,-15.4,177,164,168,25,"14",170,0,13
"184","Taysom Hill","TE","NO",71.4,8.15,0.217,63.4,79.3,-15.7,-8.2,-25.6,178,136,210,29,"7",154,1.39,63
"185","Jets","DST","NYJ",77.7,9.46,1.51,67.2,90.8,-15.8,-14.8,-15.8,179,171,175,26,"15",173,0.3,68
"186","Cairo Santos","K","CHI",132,5.04,0.584,124,138,-15.9,-14.5,-20.4,180,167,196,23,"3",142,0.75,23
"187","Tyler Higbee","TE","LAR",71.2,14.1,3.97,53.1,90.7,-16,-18.5,-14.2,181,184,160,30,"8",200,1.84,83
