"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"33","D'Andre Swift","RB","CHI",173,22.5,8.15,145,213,59.6,60.7,71.7,33,33,24,20,"7",63.3,15.6,51
"34","Amon-Ra St. Brown","WR","DET",186,14.1,8.27,168,202,57.7,63.7,44.4,34,30,39,8,"3",13.9,50.5,8
"35","Trey McBride","TE","ARI",144,6.2,22.1,137,152,56.4,65.7,47.6,35,27,38,3,"2",36.6,24.2,1
"36","Joe Burrow","QB","CIN",326,18,24.1,300,346,52.5,42,49.4,36,47,36,5,"4",31.7,22.2,3
"37","David Montgomery","RB","DET",165,12.8,1.05,149,183,51.5,64.6,41.6,37,28,40,21,"7",62.4,14.2,6
"38","TreVeyon Henderson","RB","NE",164,22.8,5.73,141,204,50.4,56.8,63.2,38,35,29,22,"7",60.8,31.9,58
"39","A.J. Brown","WR","PHI",178,15.3,3.35,158,205,49.5,54.4,47.6,39,39,37,9,"3",21.9,39.7,15
"40","Drake London","WR","ATL",174,13.8,2.95,159,199,46.1,55.3,41.2,40,36,41,10,"3",24.6,32.6,10
"41","Aaron Jones","RB","MIN",158,12.2,0.414,139,177,44.7,54.5,35.3,41,38,45,23,"7",67.6,15.9,7
"42","Tony Pollard","RB","TEN",158,9.98,0.446,139,168,44.3,54.7,27,42,37,57,24,"7",79.6,12.1,4
"43","Joe Mixon","RB","HOU",157,26.6,6.3,116,192,43.8,32.3,50.3,43,56,35,25,"8",64.5,17,93
"44","Ladd McConkey","WR","LAC",171,16,1.42,152,196,43.2,47.8,38.7,44,44,42,11,"3",43.9,21.4,25
"45","Tyreek Hill","WR","MIA",170,9.72,1.99,157,188,41.7,53.7,30,45,41,53,12,"3",31.5,40.6,3
"46","Mike Evans","WR","TB",168,11.9,2.72,156,187,39.8,51.7,29.1,46,43,55,13,"4",39.2,25.9,14
"47","RJ Harvey","RB","DEN",151,22.4,3.61,116,177,37.5,32.3,35.4,47,55,44,26,"8",70.2,23.7,62
"48","Tee Higgins","WR","CIN",165,17.3,1.33,136,185,37,32.1,27.6,48,57,56,14,"4",38.8,23.2,35
"49","Terry McLaurin","WR","WAS",164,14.8,2.06,149,188,35.7,44.8,30.7,49,45,51,15,"4",50,18.1,42
"50","Sam LaPorta","TE","DET",121,11.3,1.11,109,139,34.3,36.9,34,50,50,46,4,"3",51.8,17.2,20
"51","Tyrone Tracy","RB","NYG",148,19.8,1.53,126,172,33.9,41.8,31.2,51,48,50,27,"8",93.6,8.22,39
"52","Davante Adams","WR","LAR",162,19.1,1.65,141,191,33.6,37,33,52,49,47,16,"4",39.2,29.4,44
"53","Mark Andrews","TE","BAL",120,10.8,11.9,107,137,33.2,35.2,31.7,53,52,49,5,"4",72.2,10.2,26
"54","Isiah Pacheco","RB","KC",146,21.4,3.16,113,172,32.4,29.2,30.7,54,60,52,28,"8",75.3,13,41
"55","Jaxon Smith-Njigba","WR","SEA",160,16,2.23,137,184,32,32.9,26.2,55,53,58,17,"4",51,17.4,36
"56","Marvin Harrison Jr.","WR","ARI",158,13,3.53,137,175,29.8,32.7,17.3,56,54,62,18,"4",39.4,27,29
"57","Brian Robinson","RB","WAS",143,20.2,2.13,110,167,29.2,25.6,25.3,57,65,59,29,"8",86,8.86,31
"58","Patrick Mahomes","QB","KC",302,14.5,4.18,283,320,28.5,24.5,22.9,58,66,60,6,"4",42.6,21.8,14
"59","Kaleb Johnson","RB","PIT",141,26.6,12,103,173,27.1,18.8,31.7,59,70,48,30,"9",74.9,26.8,79
"60","DK Metcalf","WR","PIT",154,5.06,4.3,147,162,26.2,42.7,4.26,60,46,84,19,"4",49.2,22.9,1
"61","Kyler Murray","QB","ARI",297,22.7,4.5,271,333,24.3,12.4,35.6,61,78,43,7,"5",74.6,10.5,63
"62","Xavier Worthy","WR","KC",150,19,0.00773,125,175,21.9,21.4,17.1,62,68,63,20,"4",65.6,10.9,64
"63","Courtland Sutton","WR","DEN",150,11.6,0.505,139,171,21.9,35.3,13.3,63,51,67,21,"5",67,15,21
"64","Jameson Williams","WR","DET",150,14.5,1.97,132,173,21.4,28,15.2,64,61,65,22,"5",73.9,9.12,39
"65","T.J. Hockenson","TE","MIN",108,7.4,3.27,97.9,117,21.2,26.4,12.2,65,62,69,6,"4",72.4,10.1,6
"66","Baker Mayfield","QB","TB",293,13.2,4.21,275,308,19.8,17.2,11,66,71,70,8,"5",64.7,11.2,20
"67","Garrett Wilson","WR","NYJ",148,10.6,0.129,134,167,19.5,30,9.53,67,59,76,23,"5",39.3,29,4
"68","D.J. Moore","WR","CHI",147,15.1,0.969,124,170,19.3,20.3,12.3,68,69,68,24,"5",54,18.8,32
"69","Calvin Ridley","WR","TEN",146,11.9,1.25,134,163,18.4,30.6,5.48,69,58,82,25,"5",73.5,11.9,22
"70","Travis Kelce","TE","KC",105,10.9,6.03,87.1,118,18,15.6,13.5,70,76,66,7,"5",65.1,17.2,29
"71","Zay Flowers","WR","BAL",145,11.1,1.66,126,158,17.1,21.7,0.411,71,67,102,26,"5",67.2,10.4,17
"72","Brandon Aubrey","K","DAL",164,14.4,14,138,181,16.6,-0.122,22.7,72,104,61,1,"1",112,4.18,32
"73","Bo Nix","QB","DEN",289,18.8,6.43,261,314,15.6,3.32,16.7,73,93,64,9,"5",75.1,11.3,31
"74","DeVonta Smith","WR","PHI",144,11.2,5.53,130,161,15.4,25.8,3.22,74,64,91,27,"5",58.3,16.9,24
"75","Jaylen Warren","RB","PIT",129,15.8,10.7,110,152,15,25.9,10.8,75,63,73,31,"10",101,6.16,30
"76","David Njoku","TE","CLE",99.1,6.87,2.6,87.4,106,11.9,15.8,1.38,76,75,95,8,"5",95.6,6.32,9
"77","George Pickens","WR","DAL",138,11.3,1.18,121,154,9.92,16.7,-3.31,77,72,119,28,"5",71.4,11.7,26
"78","Tucker Kraft","TE","GB",96.5,12,3.88,76.6,116,9.34,5.01,10.9,78,86,72,9,"5",115,4.13,31
"79","Brock Purdy","QB","SF",282,11.2,3.6,265,296,9.14,6.72,-0.828,79,84,108,10,"6",91.4,6.48,37
"80","Jerry Jeudy","WR","CLE",137,15.9,2.21,120,167,8.74,15.8,9.73,80,74,75,29,"5",88.9,9.29,46
"81","Deebo Samuel","WR","WAS",135,19.8,1.84,104,167,6.54,-0.288,9.18,81,105,77,30,"6",84.6,14.7,62
"82","Justin Herbert","QB","LAC",279,15,0.984,260,301,5.54,1.53,4.01,82,99,87,11,"6",110,8.03,51
"83","Tyler Warren","TE","IND",92.6,7.75,3.98,84.6,105,5.46,13,-0.12,83,77,104,10,"6",115,10.1,23
"84","Rashee Rice","WR","KC",133,22.7,2.18,108,166,4.7,3.74,8.4,84,91,78,31,"6",66,14.4,85
"85","Justin Fields","QB","NYJ",278,10.5,4.55,266,297,4.55,8.28,0,85,82,103,12,"6",101,6.66,74
"86","J.K. Dobbins","RB","DEN",118,15.1,1.25,95.2,140,4.29,11.1,-0.793,86,79,107,32,"10",110,8.12,61
"87","Broncos","DST","DEN",97,9.93,0.946,87.2,113,3.51,5.19,6.46,87,85,79,1,"1",112,2.46,3
"88","Javonte Williams","RB","DAL",117,19.4,1.93,82.2,135,3.04,-1.87,-6.57,88,108,133,33,"10",114,7.85,72
"89","Kaimi Fairbairn","K","HOU",150,6.49,0.296,141,159,2.61,2.37,0.551,89,94,100,2,"1",154,1.47,45
"90","Texans","DST","HOU",96.1,10.5,2.57,79.7,108,2.57,-2.34,1.3,90,110,96,2,"2",131,1.61,29
"91","Travis Hunter","WR","JAC",131,20.7,0.735,105,163,2.52,1.31,4.93,91,100,83,32,"6",70.2,24.7,74
"92","Travis Hunter","WR","JAC",131,20.7,0.735,105,163,2.52,1.31,4.93,91,100,83,32,"6",70.2,24.7,90
"93","Cameron Dicker","K","LAC",150,10.6,0.0632,129,159,2.32,-9.36,0.694,92,146,99,3,"1",135,2.68,16
"94","Chase McLaughlin","K","TB",150,9.11,0.71,133,159,2.25,-5.73,0.491,93,126,101,4,"1",148,2.23,29
"95","Jauan Jennings","WR","SF",130,15.6,1.32,112,154,1.79,8.61,-4.03,94,81,121,33,"6",107,8.81,51
"96","Jake Bates","K","DET",149,4.03,0.794,145,156,1.54,6.76,-1.92,95,83,114,5,"1",140,2.42,1
"97","Dallas Goedert","TE","PHI",88.7,11.8,1.21,69.1,106,1.48,-2.44,0.715,96,111,98,11,"6",132,4.74,54
"98","Rhamondre Stevenson","RB","NE",115,23.4,1.11,82.2,145,1.11,-1.88,3.91,97,109,88,34,"10",109,6.75,69
"99","Jake Elliott","K","PHI",148,4.26,0.364,140,153,0.749,1.83,-5.78,98,97,129,6,"1",154,1.79,6
"100","Jakobi Meyers","WR","LVR",129,6.24,0.371,120,138,0.468,16.4,-20,99,73,193,34,"6",103,7.54,1
"101","Matt Gay","K","WAS",148,6.95,0.384,142,160,0.384,3.98,1.89,100,89,93,7,"1",157,1.4,68
"102","Evan Engram","TE","DEN",87.5,10.8,0.268,73.4,104,0.268,1.8,-0.544,101,98,105,12,"6",105,8.75,43
"103","Jayden Reed","WR","GB",128,15.4,0.0976,109,153,0.0976,4.67,-4.2,102,87,123,35,"6",108,4,47
"104","Jared Goff","QB","DET",273,21,1.5,248,301,0,-10.6,3.59,103,154,89,13,"6",95.5,6.91,77
"105","Travis Etienne","RB","JAC",114,21.5,0.44,84.1,145,0,0,4.04,103,103,86,35,"10",98.7,16.2,63
"106","Tetairoa McMillan","WR","CAR",128,23.5,0.957,88.6,164,0,-15.2,6.04,103,173,80,36,"6",71.1,28.6,88
"107","Kyle Pitts","TE","ATL",87.2,11.4,2.32,64.5,98.1,0,-7.03,-6.8,103,131,134,13,"6",124,6.47,37
"108","Chris Boswell","K","PIT",147,4.59,0.544,142,153,0,3.98,-4.91,103,90,125,8,"1",145,1.98,48
"109","Ravens","DST","BAL",93.5,8.36,0.713,82,106,0,0,-0.702,103,103,106,3,"3",116,2.07,10
"110","Austin Ekeler","RB","WAS",113,14.4,0.0182,93.6,139,-0.44,9.52,-2.35,104,80,116,36,"10",137,4.3,44
"111","Zach Charbonnet","RB","SEA",113,19,3.07,82.6,141,-0.458,-1.48,0,105,107,103,37,"10",123,4.61,35
"112","Jason Sanders","K","MIA",147,9.96,0.473,134,162,-0.544,-4.24,3.59,106,117,90,9,"1",141,1.54,74
"113","Eagles","DST","PHI",92.8,10.6,3.65,78.4,104,-0.713,-3.61,-2.99,107,114,117,4,"4",116,1.59,32
"114","Jaylen Waddle","WR","MIA",127,18.2,0.215,95.5,149,-0.957,-8.35,-9.03,108,138,139,37,"6",78.1,15.8,58
"115","Harrison Butker","K","KC",146,5.52,0.371,138,154,-1.02,0,-4.25,109,103,124,10,"1",158,2.53,19
"116","Rome Odunze","WR","CHI",127,19.6,1.15,104,154,-1.17,0,-3.54,110,103,120,38,"6",91.6,7.29,61
"117","Evan McPherson","K","CIN",146,7.04,0.883,140,158,-1.39,1.89,0,111,96,103,11,"1",180,1.71,55
"118","Caleb Williams","QB","CHI",272,17.8,8.7,258,307,-1.5,0,10.4,112,103,74,14,"7",106,6.72,69
"119","Tyler Bass","K","BUF",145,9.91,1.26,130,160,-2.27,-8.69,1.39,113,140,94,12,"1",160,1.56,71
"120","Zach Ertz","TE","WAS",84.9,11.7,0.46,71.6,105,-2.32,0,0,114,103,103,14,"6",148,3.34,57
