Unnamed: 0,player,position,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,position_rank,tier,adp,aav,uncertainty
465,Luther Burden,WR,CHI,100.0,27.0,0.29,59.8,146.0,-64.3,-76.1,-52.1,823,593.0,550.0,70,9,151.0,13.0,81.0
466,Tyler Lockett,WR,TEN,99.8,25.9,3.55,70.6,148.0,-64.6,-65.3,-50.0,825,550.0,540.0,71,9,191.0,3.12,93.0
467,Kendre Miller,RB,NO,65.4,23.6,0.127,45.8,112.0,-66.6,-58.5,-48.9,839,540.0,536.0,62,13,179.0,3.31,85.0
468,Ty Johnson,RB,BUF,65.3,19.1,0.439,46.4,92.6,-66.7,-57.9,-68.7,842,538.0,587.0,63,13,209.0,0.972,76.0
469,Miles Sanders,RB,DAL,64.8,13.2,1.34,46.6,80.8,-67.2,-57.7,-80.5,843,536.0,608.0,64,13,196.0,2.09,41.0
470,Jack Bech,WR,LVR,96.2,41.6,1.1,33.2,160.0,-68.2,-103.0,-38.7,852,730.0,498.0,72,9,168.0,5.31,96.0
471,Raheem Mostert,RB,LVR,63.5,22.5,1.19,34.3,104.0,-68.5,-70.0,-56.8,854,565.0,566.0,65,13,192.0,1.55,82.0
472,Gus Edwards,RB,FA,62.3,,4.11,,,-69.7,,,861,,,66,13,,,96.0
473,Anthony Richardson,QB,IND,202.0,67.4,17.5,103.0,277.0,-71.1,-155.0,-20.3,873,845.0,344.0,29,11,130.0,5.87,91.0
474,Samaje Perine,RB,CIN,58.2,32.0,0.133,32.3,119.0,-73.8,-72.0,-42.4,890,568.0,516.0,67,13,199.0,0.864,97.0
475,Blake Corum,RB,LAR,58.1,25.1,0.428,35.7,109.0,-74.0,-68.6,-52.6,891,560.0,552.0,68,13,192.0,1.18,79.0
476,Woody Marks,RB,HOU,57.6,35.5,0.123,6.74,106.0,-74.4,-97.6,-54.9,895,699.0,561.0,69,13,177.0,3.16,99.0
477,Audric Estime,RB,DEN,57.5,10.2,0.424,48.0,70.8,-74.5,-56.3,-90.5,899,533.0,629.0,70,13,,,68.0
478,Cordarrelle Patterson,RB,FA,57.1,,1.05,,,-74.9,,,901,,,71,13,,,80.0
479,Devin Singletary,RB,NYG,56.0,25.2,0.685,13.2,88.8,-76.0,-91.1,-72.4,907,655.0,593.0,72,13,198.0,1.3,86.0
480,Russell Wilson,QB,NYG,184.0,45.9,43.2,111.0,237.0,-88.7,-147.0,-60.1,1010,844.0,572.0,30,12,145.0,3.82,80.0
481,Tyler Shough,QB,NO,141.0,45.8,47.1,76.5,226.0,-132.0,-182.0,-70.8,1210,846.0,590.0,31,13,166.0,5.08,86.0
482,Joe Flacco,QB,CLE,94.1,33.5,5.8,41.1,145.0,-179.0,-217.0,-152.0,1300,847.0,797.0,32,14,186.0,2.72,71.0
483,Daniel Jones,QB,IND,88.3,56.1,14.6,0.38,154.0,-185.0,-258.0,-143.0,1300,863.0,776.0,33,15,178.0,3.78,89.0
484,Kirk Cousins,QB,ATL,73.7,96.0,2.15,0.0882,208.0,-199.0,-258.0,-89.4,1300,877.0,625.0,34,15,176.0,1.45,97.0
485,Spencer Rattler,QB,NO,71.5,79.9,5.0,-3.87,223.0,-202.0,-262.0,-73.5,1300,893.0,595.0,35,15,186.0,1.61,94.0
486,Deshaun Watson,QB,CLE,66.5,47.1,7.35,34.2,99.1,-207.0,-224.0,-198.0,1300,848.0,852.0,36,16,281.0,1.15,99.0
