Unnamed: 0,player,position,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,position_rank,tier,adp,aav,uncertainty
154,Harrison Butker,K,KC,146.0,5.52,0.371,138.0,154.0,-1.02,0.0,-4.25,138,130.0,167.0,10,1,158.0,2.53,19.0
156,Zach Charbonnet,RB,SEA,131.0,20.4,0.992,96.3,160.0,-1.2,-8.01,-0.886,140,202.0,140.0,36,9,123.0,4.61,31.0
160,Evan McPherson,K,CIN,146.0,7.04,0.883,140.0,158.0,-1.39,1.89,0.0,144,114.0,130.0,11,1,180.0,1.71,55.0
161,Chris Godwin,WR,TB,163.0,28.9,0.171,124.0,204.0,-1.41,-11.6,5.7,145,238.0,95.0,38,6,92.7,8.18,82.0
162,Caleb Williams,QB,CHI,272.0,17.8,8.7,258.0,307.0,-1.5,0.0,10.4,146,130.0,78.0,14,7,106.0,6.72,69.0
163,Rome Odunze,WR,CHI,163.0,23.4,5.01,136.0,193.0,-1.58,0.0,-5.3,147,130.0,173.0,39,6,91.6,7.29,62.0
167,Rhamondre Stevenson,RB,NE,130.0,24.9,6.99,95.5,166.0,-2.19,-8.81,4.72,151,210.0,100.0,37,10,109.0,6.75,62.0
170,Tyler Bass,K,BUF,145.0,9.91,1.26,130.0,160.0,-2.27,-8.69,1.39,153,208.0,120.0,12,1,160.0,1.56,71.0
176,Zach Ertz,TE,WAS,114.0,14.4,1.35,98.1,138.0,-2.58,0.0,-1.9,157,130.0,149.0,14,5,148.0,3.34,54.0
184,Younghoe Koo,K,ATL,144.0,9.23,0.318,133.0,156.0,-3.53,-4.99,-2.01,164,166.0,152.0,13,1,160.0,1.37,65.0
191,Wil Lutz,K,DEN,144.0,5.23,1.38,138.0,153.0,-3.85,0.0542,-5.68,170,128.0,176.0,14,1,168.0,1.87,42.0
192,Colston Loveland,TE,CHI,113.0,25.9,0.284,69.7,151.0,-3.93,-28.4,10.8,171,420.0,77.0,15,5,122.0,9.93,89.0
193,Kyle Pitts,TE,ATL,112.0,14.0,0.751,84.8,127.0,-4.21,-13.3,-12.6,173,253.0,254.0,16,5,124.0,6.47,43.0
195,Cowboys,DST,DAL,89.2,11.8,0.605,77.3,107.0,-4.36,-4.75,0.0,174,164.0,130.0,5,5,145.0,0.595,97.0
198,Jonnu Smith,TE,PIT,112.0,23.9,0.727,71.9,142.0,-4.96,-26.2,2.49,178,407.0,113.0,17,5,136.0,2.5,91.0
199,Vikings,DST,MIN,88.5,2.37,0.565,86.1,92.7,-4.96,4.12,-14.0,177,100.0,269.0,6,6,137.0,1.49,1.0
203,Tyler Loop,K,BAL,142.0,3.83,0.724,135.0,145.0,-5.22,-3.46,-13.7,181,151.0,262.0,15,2,187.0,1.66,61.0
204,Rams,DST,LAR,88.0,9.18,0.667,78.1,99.6,-5.53,-3.93,-6.99,183,158.0,194.0,7,6,162.0,0.595,39.0
208,Dalton Kincaid,TE,BUF,111.0,8.82,0.135,93.9,119.0,-5.69,-4.2,-20.7,186,161.0,356.0,18,5,137.0,3.86,17.0
212,Hunter Henry,TE,NE,111.0,14.4,6.95,84.3,129.0,-5.83,-13.8,-11.4,190,260.0,235.0,19,6,156.0,3.46,46.0
215,Daniel Carlson,K,LVR,142.0,4.93,0.114,134.0,146.0,-5.95,-4.53,-12.0,193,163.0,245.0,16,2,164.0,1.08,26.0
217,Will Reichard,K,MIN,141.0,9.84,0.149,129.0,153.0,-6.06,-9.08,-5.31,195,213.0,174.0,17,2,167.0,1.17,90.0
218,Bills,DST,BUF,87.3,9.58,2.6,69.3,95.0,-6.19,-12.7,-11.7,196,245.0,240.0,8,7,127.0,1.86,35.0
219,Brandon McManus,K,GB,141.0,10.4,2.24,125.0,155.0,-6.21,-12.9,-3.03,197,250.0,158.0,18,2,171.0,1.21,97.0
225,Jayden Reed,WR,GB,158.0,17.0,3.54,137.0,187.0,-6.59,1.27,-11.1,202,122.0,232.0,40,6,108.0,4.0,44.0
243,Joshua Karty,K,LAR,139.0,4.72,1.29,131.0,145.0,-8.45,-7.23,-13.1,216,200.0,256.0,19,2,185.0,0.983,3.0
248,Steelers,DST,PIT,84.7,7.6,0.678,75.7,94.7,-8.8,-6.37,-12.0,221,188.0,243.0,9,7,121.0,1.9,6.0
250,Tyjae Spears,RB,TEN,123.0,13.6,1.22,104.0,139.0,-9.18,0.0,-21.9,223,130.0,372.0,38,10,138.0,5.22,14.0
255,Seahawks,DST,SEA,84.0,7.0,0.0417,76.7,92.7,-9.47,-5.33,-14.0,228,172.0,270.0,10,8,140.0,1.07,26.0
259,49ers,DST,SF,84.0,10.9,0.191,67.4,95.7,-9.51,-14.6,-10.9,230,272.0,230.0,11,8,152.0,0.66,74.0
260,Packers,DST,GB,83.8,11.6,0.318,70.3,100.0,-9.71,-11.7,-6.3,231,239.0,186.0,12,8,156.0,0.81,81.0
261,Jake Moody,K,SF,138.0,6.46,2.58,132.0,149.0,-9.73,-6.81,-9.55,232,193.0,218.0,20,2,161.0,0.55,77.0
263,Chiefs,DST,KC,83.5,8.71,0.117,72.6,91.3,-10.0,-9.47,-15.3,234,221.0,280.0,13,8,144.0,0.93,61.0
264,Cooper Kupp,WR,SEA,154.0,22.2,0.0443,131.0,195.0,-10.1,-5.18,-3.23,236,170.0,160.0,41,6,94.3,15.0,68.0
265,Commanders,DST,WAS,83.4,13.6,0.719,64.9,98.4,-10.1,-17.1,-8.26,237,304.0,204.0,14,9,171.0,0.0,90.0
267,Dak Prescott,QB,DAL,263.0,14.3,5.12,244.0,285.0,-10.2,-14.2,-12.4,240,263.0,247.0,15,7,91.1,9.19,46.0
268,Stefon Diggs,WR,NE,154.0,16.0,0.71,130.0,181.0,-10.2,-6.03,-17.6,238,181.0,307.0,42,6,100.0,11.5,39.0
274,Najee Harris,RB,LAC,122.0,21.9,0.851,85.6,145.0,-10.4,-18.8,-16.4,244,326.0,297.0,39,10,121.0,5.69,58.0
279,Matthew Golden,WR,GB,154.0,25.2,0.351,122.0,195.0,-10.9,-14.3,-3.47,250,266.0,162.0,43,6,100.0,17.0,88.0
280,Lions,DST,DET,82.7,11.1,0.26,65.3,94.1,-10.9,-16.7,-12.5,249,297.0,252.0,15,9,146.0,1.58,45.0
281,Chargers,DST,LAC,82.4,9.23,0.385,73.1,94.9,-11.1,-8.97,-11.7,252,211.0,241.0,16,10,155.0,0.7,65.0
283,Quinshon Judkins,RB,CLE,121.0,42.0,1.69,70.0,186.0,-11.2,-34.3,24.8,254,463.0,57.0,40,10,116.0,13.2,99.0
284,Jordan Addison,WR,MIN,153.0,25.3,1.51,120.0,201.0,-11.2,-16.0,3.01,253,294.0,111.0,44,6,100.0,4.92,72.0
290,Giants,DST,NYG,82.0,15.1,1.4,66.3,103.0,-11.5,-15.7,-4.13,260,288.0,166.0,17,11,154.0,0.1,99.0
296,Cam Little,K,JAC,135.0,7.35,0.114,126.0,149.0,-12.3,-12.1,-9.17,264,243.0,215.0,21,2,169.0,1.76,52.0
298,Jason Myers,K,SEA,135.0,4.59,3.5,129.0,140.0,-12.4,-9.29,-18.1,266,218.0,320.0,22,3,150.0,0.6,13.0
302,Ricky Pearsall,WR,SF,152.0,21.8,3.56,122.0,192.0,-12.7,-13.4,-6.77,270,255.0,190.0,45,6,109.0,5.8,69.0
303,Isaiah Likely,TE,BAL,104.0,14.4,0.431,84.7,126.0,-12.8,-13.4,-13.6,271,254.0,261.0,20,6,151.0,2.95,60.0
305,Rachaad White,RB,TB,119.0,13.7,5.14,98.0,134.0,-12.9,-6.36,-27.7,275,187.0,428.0,41,10,120.0,9.04,20.0
306,Colts,DST,IND,80.6,5.29,1.37,73.9,86.7,-12.9,-8.1,-19.9,274,205.0,341.0,18,12,164.0,0.4,16.0
309,Cade Otton,TE,TB,103.0,13.2,1.15,85.5,121.0,-13.2,-12.6,-18.6,277,244.0,326.0,21,6,171.0,3.0,57.0
317,Bears,DST,CHI,79.2,9.6,0.292,67.7,91.3,-14.3,-14.4,-15.3,287,268.0,281.0,19,13,152.0,0.55,58.0
318,Brenton Strange,TE,JAC,102.0,11.4,1.15,89.7,119.0,-14.4,-8.41,-20.7,288,207.0,354.0,22,6,174.0,3.66,66.0
319,Bengals,DST,CIN,78.9,6.53,0.0693,72.0,88.8,-14.6,-10.1,-17.8,289,225.0,314.0,20,13,162.0,0.0,23.0
320,Browns,DST,CLE,78.9,10.3,0.0519,65.9,91.0,-14.6,-16.1,-15.6,291,295.0,286.0,21,13,169.0,0.0,84.0
321,Cardinals,DST,ARI,78.8,12.5,0.352,61.2,93.4,-14.7,-20.8,-13.3,292,344.0,259.0,22,13,170.0,0.55,87.0
323,Buccaneers,DST,TB,78.5,7.58,0.499,65.1,87.8,-15.0,-17.0,-18.8,300,302.0,329.0,23,14,162.0,0.6,19.0
324,C.J. Stroud,QB,HOU,258.0,16.9,2.05,231.0,282.0,-15.3,-27.0,-15.0,302,412.0,279.0,16,7,110.0,8.02,40.0
326,Darren Waller,TE,MIA,101.0,20.1,0.568,74.9,137.0,-15.5,-23.2,-3.37,308,377.0,161.0,23,6,174.0,8.85,94.0
327,Raiders,DST,LVR,78.0,10.1,0.0165,63.4,91.0,-15.5,-18.7,-15.7,309,325.0,288.0,24,14,170.0,0.0,52.0
328,Falcons,DST,ATL,78.0,7.49,0.244,68.4,91.3,-15.6,-13.7,-15.4,310,257.0,282.0,25,14,170.0,0.0,13.0
331,Jets,DST,NYJ,77.7,9.46,1.51,67.2,90.8,-15.8,-14.8,-15.8,315,277.0,292.0,26,15,173.0,0.3,68.0
332,Cairo Santos,K,CHI,132.0,5.04,0.584,124.0,138.0,-15.9,-14.5,-20.4,319,270.0,346.0,23,3,142.0,0.75,23.0
334,Dalton Schultz,TE,HOU,100.0,13.7,0.188,81.7,118.0,-16.1,-16.4,-22.2,321,296.0,375.0,24,6,192.0,2.8,63.0
336,Michael Pittman,WR,IND,148.0,11.6,0.806,132.0,168.0,-16.3,-3.6,-30.6,325,153.0,453.0,46,7,116.0,9.1,17.0
337,Chigoziem Okonkwo,TE,TEN,100.0,15.6,0.377,80.5,122.0,-16.3,-17.6,-18.3,324,309.0,321.0,25,6,185.0,1.89,74.0
338,Blake Grupe,K,NO,131.0,8.92,0.273,121.0,147.0,-16.5,-17.8,-10.9,330,312.0,229.0,24,3,170.0,0.0,58.0
340,Mike Gesicki,TE,CIN,99.8,7.34,0.0575,91.9,111.0,-16.6,-6.15,-29.2,335,183.0,441.0,26,6,176.0,4.5,23.0
342,Pat Freiermuth,TE,PIT,99.8,16.2,0.953,70.0,120.0,-16.7,-28.1,-20.4,337,418.0,347.0,27,6,161.0,2.0,71.0
343,Chad Ryland,K,ARI,131.0,11.6,0.973,116.0,150.0,-16.8,-22.7,-8.42,338,371.0,206.0,25,3,170.0,0.0,99.0
347,Khalil Shakir,WR,BUF,147.0,18.0,2.03,121.0,175.0,-17.1,-14.5,-23.2,342,271.0,386.0,47,7,115.0,5.84,46.0
349,Dolphins,DST,MIA,76.2,10.6,1.19,62.0,90.9,-17.3,-20.0,-15.8,345,338.0,290.0,27,16,170.0,0.0,77.0
350,J.J. McCarthy,QB,MIN,256.0,24.2,2.38,227.0,295.0,-17.4,-31.2,-1.83,346,447.0,148.0,17,7,124.0,6.57,83.0
352,Juwan Johnson,TE,NO,98.8,10.6,2.89,82.5,112.0,-17.6,-15.6,-27.9,348,287.0,429.0,28,6,207.0,1.6,40.0
354,Spencer Shrader,K,IND,130.0,10.5,6.32,116.0,145.0,-17.8,-22.7,-13.2,350,369.0,257.0,26,4,170.0,0.0,81.0
356,Jordan Mason,RB,MIN,114.0,19.2,1.56,76.9,131.0,-18.1,-27.4,-30.3,356,417.0,451.0,42,10,111.0,9.11,44.0
358,Saints,DST,NO,75.0,12.5,2.36,55.7,87.1,-18.5,-26.4,-19.6,364,408.0,335.0,28,17,168.0,0.0,48.0
363,Rashid Shaheed,WR,NO,145.0,9.5,2.75,130.0,159.0,-19.1,-5.77,-39.3,374,175.0,503.0,48,7,154.0,4.05,14.0
369,Cam Skattebo,RB,NYG,112.0,24.0,1.71,79.3,151.0,-19.6,-25.0,-9.89,382,395.0,222.0,43,10,107.0,11.9,69.0
371,Jordan Love,QB,GB,253.0,15.9,2.36,232.0,280.0,-19.8,-26.5,-16.6,386,410.0,299.0,18,7,111.0,7.12,49.0
372,Tyler Higbee,TE,LAR,95.9,17.8,5.7,73.3,122.0,-20.5,-24.8,-17.7,396,392.0,310.0,29,7,200.0,1.84,80.0
374,Jaguars,DST,JAC,72.7,11.8,0.0472,51.6,86.8,-20.9,-30.4,-19.8,403,440.0,340.0,29,17,170.0,0.0,71.0
375,Titans,DST,TEN,72.6,12.9,3.36,56.5,88.6,-20.9,-25.5,-18.1,406,401.0,319.0,30,18,170.0,0.0,55.0
376,Tank Bigsby,RB,JAC,111.0,21.3,0.587,83.5,141.0,-21.4,-20.8,-20.6,412,346.0,352.0,44,10,116.0,5.02,56.0
378,Jerome Ford,RB,CLE,110.0,24.2,12.5,83.7,150.0,-21.9,-20.6,-11.6,426,342.0,238.0,45,11,133.0,6.46,87.0
379,Josh Downs,WR,IND,142.0,20.5,0.723,127.0,182.0,-21.9,-8.98,-16.7,423,212.0,300.0,49,7,127.0,3.37,51.0
380,Drake Maye,QB,NE,251.0,17.5,0.614,228.0,269.0,-22.1,-29.9,-27.6,428,436.0,427.0,19,7,123.0,7.55,66.0
381,Darnell Mooney,WR,ATL,142.0,15.8,0.607,121.0,167.0,-22.6,-14.7,-31.3,435,273.0,456.0,50,7,137.0,3.3,36.0
382,Trevor Lawrence,QB,JAC,250.0,14.6,5.51,228.0,267.0,-22.7,-30.0,-29.8,436,437.0,446.0,20,8,132.0,6.07,26.0
385,Keon Coleman,WR,BUF,141.0,17.4,8.54,118.0,166.0,-23.2,-17.5,-32.6,447,308.0,466.0,51,7,122.0,4.5,56.0
387,Nick Folk,K,NYJ,123.0,7.61,1.87,115.0,135.0,-24.1,-23.3,-23.7,459,378.0,389.0,27,4,170.0,0.0,39.0
388,Panthers,DST,CAR,69.2,12.7,1.1,57.0,91.1,-24.3,-25.0,-15.5,462,396.0,284.0,31,19,169.0,0.0,42.0
392,Patriots,DST,NE,68.1,9.67,0.0,56.1,82.8,-25.4,-25.9,-23.9,485,405.0,394.0,32,19,163.0,0.9,94.0
394,Graham Gano,K,NYG,121.0,14.1,0.172,102.0,143.0,-26.0,-36.1,-14.9,493,471.0,278.0,28,4,170.0,0.0,84.0
396,Joey Slye,K,TEN,121.0,5.13,1.52,114.0,130.0,-26.1,-24.2,-28.4,497,391.0,435.0,29,4,170.0,0.0,10.0
397,Theo Johnson,TE,NYG,90.2,14.8,2.84,68.8,113.0,-26.2,-29.2,-26.7,498,431.0,420.0,30,7,183.0,1.82,69.0
398,Matthew Wright,K,CAR,120.0,8.52,0.949,109.0,133.0,-27.6,-29.0,-25.2,516,426.0,405.0,30,4,,,35.0
400,Matthew Stafford,QB,LAR,245.0,21.6,5.67,218.0,278.0,-28.2,-40.5,-19.1,525,493.0,331.0,21,8,147.0,4.45,57.0
401,Dustin Hopkins,K,CLE,119.0,14.3,0.224,97.9,138.0,-28.6,-40.5,-20.8,530,492.0,358.0,31,4,170.0,0.0,87.0
402,Andres Borregales,K,NE,119.0,15.9,30.9,91.7,136.0,-28.8,-46.6,-22.0,534,508.0,373.0,32,5,170.0,0.0,94.0
405,Robbie Ouzts,TE,SEA,87.4,,0.217,,,-29.1,,,538,,,31,7,,,99.0
406,Mason Taylor,TE,NYJ,87.2,20.0,1.34,54.4,116.0,-29.3,-43.6,-23.8,544,502.0,393.0,32,7,172.0,3.25,83.0
408,Taysom Hill,TE,NO,85.8,6.82,1.82,78.5,90.5,-30.6,-19.6,-49.4,558,334.0,537.0,33,7,154.0,1.39,51.0
414,Marvin Mims,WR,DEN,133.0,28.6,3.86,94.8,175.0,-31.8,-41.1,-23.7,583,495.0,391.0,52,7,144.0,2.58,79.0
417,Elijah Arroyo,TE,SEA,84.0,27.6,8.44,41.1,116.0,-32.5,-57.0,-24.4,591,534.0,399.0,34,8,176.0,3.67,97.0
420,Bryce Young,QB,CAR,239.0,16.0,0.0263,218.0,263.0,-33.9,-40.6,-34.0,603,494.0,474.0,22,8,145.0,4.5,34.0
421,Geno Smith,QB,LVR,239.0,15.8,0.472,216.0,258.0,-33.9,-41.8,-39.2,604,499.0,502.0,23,8,150.0,3.68,29.0
423,Tua Tagovailoa,QB,MIA,239.0,20.6,2.84,211.0,268.0,-34.4,-47.6,-28.9,608,512.0,440.0,24,8,135.0,5.05,43.0
